age,job,marital,education,make_deposit,y
29,services,married,high.school,0.123,no
24,technician,single,university.degree,0.014,no
26,admin.,married,unknown,0.576,no
28,technician,married,university.degree,0.003,no
26,technician,married,professional.course,0,no
34,admin.,married,professional.course,0.002,no
39,technician,married,university.degree,0,no
37,admin.,single,university.degree,0.003,no
33,services,married,basic.4y,0.013,no
32,blue-collar,single,basic.9y,0.005,no
38,blue-collar,married,basic.9y,0.002,no
46,admin.,married,university.degree,0.014,no
39,blue-collar,married,basic.6y,0.009,no
27,admin.,single,university.degree,0.206,no
30,admin.,married,university.degree,0.549,yes
32,blue-collar,single,basic.4y,0.006,no
36,blue-collar,single,basic.6y,0.754,yes
50,admin.,married,high.school,0.221,no
27,technician,single,university.degree,0.62,no
44,blue-collar,divorced,basic.9y,0,no
64,retired,married,university.degree,0.131,no
58,blue-collar,married,unknown,0.003,no
71,retired,married,university.degree,0.12,no
29,admin.,single,high.school,0.87,yes
38,technician,married,high.school,0.367,yes
31,blue-collar,married,basic.9y,0,no
37,technician,divorced,basic.9y,0.031,no
39,blue-collar,divorced,basic.9y,0.015,no
34,technician,married,professional.course,0.009,no
30,technician,single,university.degree,0.002,no
39,unemployed,married,professional.course,0.024,no
25,blue-collar,single,high.school,0.012,no
40,admin.,divorced,university.degree,0.122,no
30,self-employed,single,university.degree,0.677,no
34,admin.,divorced,university.degree,0.173,yes
44,management,married,high.school,0.003,no
38,entrepreneur,married,basic.6y,0.628,yes
29,admin.,single,high.school,0.002,no
33,technician,married,high.school,0.106,no
29,management,single,university.degree,0.103,no
29,blue-collar,single,basic.6y,0.428,yes
54,management,divorced,university.degree,0.066,no
51,admin.,married,high.school,0.001,no
24,blue-collar,divorced,high.school,0.012,no
48,blue-collar,divorced,professional.course,0.181,yes
56,retired,married,basic.4y,0,no
30,blue-collar,married,basic.4y,0.004,no
60,blue-collar,married,basic.9y,0.007,no
31,self-employed,single,university.degree,0.352,yes
58,retired,married,basic.6y,0.002,no
40,self-employed,married,unknown,0.381,no
51,entrepreneur,married,basic.4y,0.003,no
46,management,married,university.degree,0.001,no
31,blue-collar,single,high.school,0.006,no
53,blue-collar,married,high.school,0.007,no
37,admin.,married,high.school,0.759,no
41,blue-collar,married,basic.6y,0.002,no
33,blue-collar,married,basic.9y,0.438,yes
35,technician,single,professional.course,0.002,no
26,blue-collar,married,basic.4y,0.15,no
42,admin.,single,university.degree,0,no
42,technician,married,professional.course,0.352,yes
31,blue-collar,married,basic.4y,0.002,no
56,retired,married,professional.course,0.778,yes
22,student,single,high.school,0.018,no
27,admin.,divorced,high.school,0,no
24,management,single,university.degree,0.009,no
42,self-employed,married,basic.4y,0.007,no
56,services,married,basic.4y,0.01,no
32,admin.,single,university.degree,0.009,no
28,admin.,single,high.school,0.009,no
41,admin.,single,high.school,0.004,no
30,services,married,high.school,0.571,yes
47,blue-collar,divorced,basic.9y,0,no
30,admin.,single,high.school,0.161,no
55,blue-collar,married,basic.6y,0.008,no
75,retired,married,basic.4y,0.173,no
40,technician,married,high.school,0.002,no
40,admin.,married,university.degree,0,no
50,blue-collar,married,basic.4y,0.001,no
39,blue-collar,married,basic.6y,0.013,no
37,blue-collar,unknown,basic.6y,0.004,no
33,admin.,divorced,high.school,0,no
38,services,married,basic.9y,0.002,no
41,entrepreneur,married,basic.6y,0.005,no
39,technician,divorced,professional.course,0.009,no
48,technician,married,professional.course,0.903,yes
34,self-employed,married,professional.course,0.001,no
33,management,married,university.degree,0,no
41,admin.,single,basic.6y,0.016,no
30,admin.,single,university.degree,0.79,no
31,services,married,basic.9y,0.006,no
39,housemaid,married,professional.course,0.001,no
36,blue-collar,married,basic.9y,0,no
44,technician,married,professional.course,0,no
51,blue-collar,married,basic.4y,0.003,no
38,blue-collar,married,professional.course,0.001,no
49,unemployed,married,professional.course,0.414,no
43,technician,married,high.school,0.454,no
58,admin.,married,high.school,0.229,no
46,admin.,married,university.degree,0.001,no
43,technician,single,high.school,0.012,no
54,technician,divorced,professional.course,0.019,no
31,unemployed,single,professional.course,0.043,no
41,admin.,single,high.school,0.006,no
43,technician,married,high.school,0.006,no
61,retired,married,university.degree,0.605,no
48,technician,divorced,professional.course,0.002,no
43,management,married,unknown,0.037,no
59,retired,married,basic.6y,0.349,no
50,management,married,university.degree,0.001,no
39,blue-collar,single,basic.4y,0.449,no
34,admin.,single,high.school,0.115,no
38,admin.,married,basic.6y,0.005,no
22,technician,married,basic.9y,0.289,no
27,admin.,married,high.school,0.024,no
44,management,married,university.degree,0.115,no
29,self-employed,married,professional.course,0.018,no
42,blue-collar,married,basic.6y,0.01,no
52,blue-collar,married,basic.9y,0.002,no
46,admin.,married,university.degree,0.823,yes
43,blue-collar,married,basic.4y,0.001,no
36,admin.,single,high.school,0.002,no
50,self-employed,married,university.degree,0.016,no
54,technician,married,university.degree,0.06,no
54,services,single,high.school,0,no
37,technician,single,professional.course,0.002,no
57,blue-collar,divorced,basic.4y,0.338,no
35,blue-collar,married,unknown,0.351,yes
29,admin.,single,university.degree,0,no
45,admin.,divorced,university.degree,0.473,no
50,admin.,divorced,basic.4y,0.015,no
36,services,married,high.school,0,no
54,blue-collar,divorced,basic.4y,0.038,no
45,technician,divorced,professional.course,0.426,yes
44,admin.,married,university.degree,0.004,no
36,services,married,high.school,0.104,no
55,entrepreneur,married,professional.course,0.008,no
27,admin.,married,university.degree,0.419,yes
29,admin.,married,high.school,0.006,no
26,unemployed,single,basic.9y,0.146,no
53,blue-collar,married,basic.4y,0.01,no
59,blue-collar,married,basic.9y,0.011,no
39,technician,married,professional.course,0.002,no
29,services,single,high.school,0,no
60,retired,married,basic.4y,0.145,no
30,management,single,university.degree,0.003,no
58,management,married,basic.9y,0.006,no
56,technician,married,university.degree,0.002,no
54,entrepreneur,married,university.degree,0,no
35,blue-collar,single,basic.9y,0.004,no
60,management,married,university.degree,0.019,no
30,admin.,single,university.degree,0.374,no
35,services,single,basic.4y,0.021,no
38,admin.,single,basic.9y,0.467,no
33,technician,single,basic.9y,0.007,no
23,technician,single,university.degree,0.564,yes
35,admin.,single,university.degree,0.029,no
31,self-employed,married,university.degree,0.008,no
31,technician,single,university.degree,0.014,no
34,admin.,married,university.degree,0.003,no
30,admin.,single,university.degree,0.006,no
49,services,married,high.school,0.013,no
27,self-employed,single,university.degree,0.26,no
37,blue-collar,married,basic.4y,0.027,yes
48,services,married,unknown,0,no
52,admin.,married,university.degree,0.019,no
49,technician,married,university.degree,0.501,no
46,blue-collar,divorced,basic.9y,0.001,no
38,blue-collar,married,high.school,0.001,no
48,admin.,divorced,high.school,0.561,no
31,technician,single,professional.course,0.002,no
33,blue-collar,married,basic.9y,0.01,no
42,admin.,divorced,university.degree,0.011,no
34,blue-collar,married,basic.9y,0.002,no
31,blue-collar,single,basic.9y,0.005,no
48,technician,divorced,professional.course,0.02,no
34,blue-collar,married,basic.9y,0.001,no
37,management,single,university.degree,0.151,no
62,entrepreneur,married,university.degree,0.334,yes
58,admin.,married,basic.6y,0.002,no
58,retired,married,basic.4y,0.036,no
58,self-employed,married,university.degree,0.286,no
38,services,married,basic.6y,0.001,no
48,blue-collar,married,professional.course,0.009,no
51,admin.,married,university.degree,0.001,no
31,blue-collar,married,basic.6y,0.247,yes
27,admin.,married,professional.course,0.004,no
35,services,married,high.school,0.006,no
30,admin.,married,university.degree,0.256,yes
39,entrepreneur,married,professional.course,0.004,no
34,admin.,married,university.degree,0,no
29,admin.,single,university.degree,0.038,no
55,management,married,university.degree,0.148,yes
32,services,single,high.school,0.008,no
50,admin.,divorced,basic.9y,0,no
47,services,single,basic.9y,0.003,no
36,technician,married,professional.course,0.511,yes
25,admin.,single,university.degree,0.75,no
30,self-employed,single,university.degree,0.004,no
32,admin.,single,university.degree,0,no
28,technician,married,professional.course,0.003,no
32,management,married,university.degree,0.221,no
27,services,married,high.school,0.002,no
35,technician,divorced,professional.course,0.006,no
51,blue-collar,married,unknown,0.004,no
30,admin.,married,university.degree,0.026,no
55,retired,married,high.school,0.014,no
28,services,married,high.school,0,no
47,technician,divorced,high.school,0.001,no
42,management,married,university.degree,0.001,no
45,services,married,university.degree,0.018,no
31,blue-collar,married,basic.9y,0.478,yes
27,admin.,divorced,high.school,0.001,no
49,blue-collar,married,basic.4y,0,no
21,student,single,high.school,0.574,no
43,blue-collar,married,basic.4y,0.079,no
30,blue-collar,single,basic.4y,0.298,yes
41,admin.,married,university.degree,0,no
27,services,single,high.school,0.002,no
34,blue-collar,married,basic.9y,0.001,no
52,technician,married,professional.course,0.247,no
48,services,married,high.school,0.016,no
36,blue-collar,married,basic.9y,0.096,no
59,housemaid,divorced,basic.6y,0.022,no
29,admin.,married,university.degree,0.015,no
22,admin.,single,university.degree,0.581,no
53,self-employed,married,university.degree,0.024,no
45,blue-collar,married,basic.4y,0,no
69,retired,married,unknown,0.433,no
33,blue-collar,married,basic.9y,0.178,no
36,admin.,married,university.degree,0.121,no
48,self-employed,married,high.school,0.007,no
41,management,married,unknown,0.001,no
30,self-employed,single,university.degree,0.005,no
27,admin.,married,professional.course,0.091,no
48,entrepreneur,married,basic.9y,0.01,no
22,services,single,professional.course,0.673,yes
47,technician,single,unknown,0.002,no
27,self-employed,single,university.degree,0.021,no
35,unemployed,single,basic.6y,0.004,no
46,blue-collar,divorced,basic.6y,0.006,no
35,management,single,university.degree,0.219,no
31,technician,married,professional.course,0.004,no
24,services,single,high.school,0.011,no
56,blue-collar,married,professional.course,0.011,no
46,self-employed,married,university.degree,0.06,no
98,retired,married,basic.4y,0.68,yes
52,unemployed,married,unknown,0.025,no
37,blue-collar,divorced,basic.9y,0.474,yes
48,blue-collar,single,basic.4y,0.008,no
45,admin.,married,high.school,0.002,no
54,technician,married,high.school,0,no
27,blue-collar,married,basic.6y,0.004,no
33,technician,single,professional.course,0.14,yes
47,services,married,basic.9y,0.184,no
42,blue-collar,married,basic.9y,0.003,no
30,admin.,single,university.degree,0.006,no
26,management,single,university.degree,0.414,no
43,admin.,married,high.school,0.009,no
38,technician,married,professional.course,0.012,no
35,blue-collar,married,basic.4y,0.009,no
32,blue-collar,married,high.school,0,no
55,blue-collar,married,basic.4y,0.001,no
33,self-employed,married,basic.6y,0.252,no
34,admin.,single,high.school,0.639,yes
41,self-employed,married,university.degree,0.01,no
41,admin.,married,high.school,0,no
35,self-employed,married,university.degree,0.38,yes
32,admin.,single,university.degree,0.243,yes
40,technician,divorced,university.degree,0.003,no
19,student,single,basic.4y,0.454,no
45,management,married,high.school,0.012,no
34,admin.,single,university.degree,0.848,yes
33,admin.,married,university.degree,0,no
32,housemaid,married,basic.4y,0.008,no
33,technician,single,university.degree,0,no
35,technician,single,university.degree,0,no
56,entrepreneur,divorced,university.degree,0.087,no
31,blue-collar,married,basic.6y,0.005,no
42,entrepreneur,married,high.school,0.009,no
34,management,married,university.degree,0.007,no
37,blue-collar,married,basic.9y,0,no
54,self-employed,married,basic.9y,0.006,no
35,admin.,single,university.degree,0,no
51,technician,married,professional.course,0.775,yes
47,blue-collar,married,basic.6y,0.337,no
49,admin.,single,high.school,0.518,no
44,blue-collar,married,high.school,0.001,no
39,management,single,university.degree,0.006,no
57,housemaid,married,basic.6y,0.006,no
44,housemaid,married,basic.9y,0.021,no
28,admin.,single,high.school,0.746,yes
31,technician,single,professional.course,0.097,no
43,blue-collar,married,basic.4y,0.019,no
48,blue-collar,married,basic.4y,0.015,no
39,admin.,married,university.degree,0,no
57,housemaid,married,basic.4y,0.007,no
34,admin.,single,university.degree,0.004,no
39,entrepreneur,divorced,high.school,0,no
60,retired,single,high.school,0.011,no
47,management,married,university.degree,0,no
35,technician,married,unknown,0.359,yes
44,unemployed,married,high.school,0.012,no
41,entrepreneur,married,basic.4y,0.183,no
32,admin.,single,university.degree,0.013,no
33,blue-collar,married,basic.9y,0,no
49,admin.,married,university.degree,0.004,no
29,blue-collar,single,basic.9y,0.001,no
38,blue-collar,single,basic.9y,0.035,no
42,technician,married,basic.9y,0,no
30,management,single,high.school,0.021,no
24,blue-collar,married,basic.9y,0.012,no
60,unknown,single,unknown,0.018,no
40,technician,married,professional.course,0.306,no
25,blue-collar,married,basic.4y,0,no
29,admin.,married,university.degree,0.014,no
43,blue-collar,married,basic.6y,0.006,no
35,admin.,single,high.school,0.002,no
40,management,divorced,university.degree,0.082,yes
83,retired,married,high.school,0.638,yes
27,admin.,single,unknown,0.414,yes
42,admin.,single,high.school,0.002,no
50,admin.,married,high.school,0.004,no
32,admin.,married,university.degree,0.002,no
35,self-employed,single,university.degree,0.473,yes
25,self-employed,single,university.degree,0.002,no
25,blue-collar,single,basic.9y,0.009,no
29,unemployed,married,university.degree,0.016,no
22,student,single,high.school,0.573,yes
56,retired,divorced,high.school,0.009,no
41,admin.,single,high.school,0.004,no
32,blue-collar,married,basic.9y,0.01,no
60,management,married,university.degree,0.367,no
59,admin.,married,high.school,0.732,yes
38,technician,married,professional.course,0.023,no
38,services,married,high.school,0.002,no
29,services,married,high.school,0.003,no
41,blue-collar,married,basic.9y,0.134,no
38,self-employed,married,basic.9y,0.003,no
38,management,single,university.degree,0.008,no
51,admin.,married,university.degree,0.001,no
29,blue-collar,single,high.school,0.007,no
33,technician,married,basic.9y,0.001,no
41,management,married,university.degree,0,no
46,admin.,single,university.degree,0.002,no
37,technician,single,university.degree,0,no
38,unknown,married,unknown,0.005,no
64,retired,married,basic.4y,0.37,yes
46,admin.,married,basic.9y,0,no
56,admin.,married,university.degree,0.006,no
24,student,single,high.school,0.137,no
36,admin.,single,high.school,0.002,no
50,unemployed,married,basic.9y,0.01,no
28,blue-collar,single,basic.9y,0,no
30,admin.,married,university.degree,0.593,yes
55,retired,married,high.school,0.125,no
49,blue-collar,single,basic.6y,0.011,no
32,admin.,single,professional.course,0.03,no
56,retired,married,high.school,0.519,yes
27,unemployed,married,high.school,0.491,no
51,admin.,married,university.degree,0,no
39,admin.,married,professional.course,0.004,no
27,admin.,married,university.degree,0.483,no
83,retired,divorced,basic.4y,0.834,yes
40,services,married,high.school,0.349,no
43,unemployed,married,university.degree,0,no
48,management,divorced,university.degree,0.011,no
54,admin.,married,high.school,0.002,no
54,retired,married,high.school,0.005,no
32,services,married,high.school,0.002,no
31,entrepreneur,divorced,high.school,0.007,no
40,services,divorced,high.school,0.127,no
34,services,married,high.school,0.02,no
38,technician,divorced,high.school,0.009,no
37,blue-collar,married,basic.9y,0.007,no
57,technician,married,professional.course,0.325,yes
32,technician,divorced,professional.course,0.054,no
38,blue-collar,married,professional.course,0.001,no
37,services,married,high.school,0.005,no
55,unknown,married,university.degree,0.202,yes
26,technician,single,professional.course,0.166,yes
51,management,married,high.school,0.001,no
40,blue-collar,married,high.school,0.003,no
45,services,married,professional.course,0.03,no
57,blue-collar,married,basic.9y,0.062,no
27,blue-collar,single,basic.9y,0.002,no
35,admin.,married,high.school,0.07,no
47,technician,married,professional.course,0.001,no
29,admin.,single,university.degree,0.408,no
29,admin.,single,university.degree,0.011,no
33,blue-collar,married,basic.9y,0,no
29,blue-collar,married,high.school,0,no
51,housemaid,married,basic.4y,0.006,no
25,blue-collar,single,basic.9y,0.005,no
39,admin.,married,university.degree,0.075,no
23,student,single,high.school,0.088,no
54,blue-collar,married,basic.4y,0,no
25,student,single,high.school,0.029,no
36,blue-collar,single,basic.6y,0.006,no
29,blue-collar,married,basic.9y,0.003,no
37,technician,married,professional.course,0,no
45,blue-collar,divorced,basic.9y,0.033,no
36,management,married,university.degree,0.01,no
51,blue-collar,divorced,basic.4y,0.002,no
42,technician,single,unknown,0.266,no
29,services,single,high.school,0.325,yes
69,retired,married,professional.course,0.369,no
28,blue-collar,married,basic.4y,0.124,no
43,technician,married,high.school,0.026,no
56,admin.,divorced,unknown,0.547,no
33,admin.,married,university.degree,0.385,no
31,entrepreneur,single,university.degree,0.004,no
34,management,married,high.school,0.001,no
41,admin.,married,high.school,0.001,no
55,blue-collar,single,basic.6y,0.001,no
44,services,divorced,basic.9y,0.433,yes
46,student,single,unknown,0.239,no
30,blue-collar,married,unknown,0.004,no
35,technician,married,professional.course,0,no
54,admin.,married,university.degree,0.085,no
34,admin.,single,basic.6y,0.016,no
43,blue-collar,married,unknown,0.004,no
56,admin.,married,high.school,0.021,no
40,technician,divorced,professional.course,0.001,no
35,admin.,single,high.school,0,no
34,admin.,married,university.degree,0.004,no
42,blue-collar,divorced,basic.4y,0.009,no
45,services,divorced,basic.4y,0.312,yes
47,management,divorced,university.degree,0.004,no
26,services,divorced,professional.course,0,no
54,admin.,married,university.degree,0.002,no
33,admin.,single,university.degree,0.315,no
57,technician,married,basic.9y,0.025,no
28,self-employed,single,high.school,0.016,no
34,services,married,high.school,0.158,no
57,technician,married,high.school,0.003,no
27,services,single,university.degree,0.646,yes
42,technician,divorced,university.degree,0.002,no
53,blue-collar,married,basic.4y,0.003,no
26,blue-collar,married,basic.9y,0.021,no
55,management,married,university.degree,0.009,no
45,entrepreneur,married,basic.4y,0.035,no
33,technician,single,university.degree,0,no
50,technician,married,high.school,0.628,yes
30,admin.,single,university.degree,0.876,no
30,technician,single,basic.9y,0.005,no
28,technician,single,professional.course,0.004,no
32,technician,divorced,professional.course,0.067,no
36,technician,married,high.school,0.001,no
48,technician,married,university.degree,0.008,no
31,blue-collar,single,high.school,0.016,no
33,blue-collar,single,university.degree,0.101,no
44,management,married,basic.9y,0.008,no
36,entrepreneur,single,basic.4y,0.169,yes
40,management,married,high.school,0.005,no
30,entrepreneur,single,university.degree,0.004,no
84,retired,married,basic.9y,0.384,no
50,entrepreneur,married,university.degree,0.036,no
56,services,single,high.school,0.005,no
45,blue-collar,divorced,professional.course,0.004,no
52,admin.,divorced,university.degree,0.429,yes
41,blue-collar,married,basic.9y,0.003,no
44,unknown,married,university.degree,0.342,no
50,housemaid,single,unknown,0.064,no
44,admin.,divorced,university.degree,0.003,no
29,technician,single,university.degree,0.003,no
33,admin.,married,university.degree,0.001,no
30,blue-collar,married,high.school,0.012,no
52,blue-collar,married,basic.9y,0.095,no
31,services,married,basic.6y,0.43,yes
40,admin.,married,high.school,0,no
46,blue-collar,married,basic.9y,0.007,no
43,entrepreneur,married,basic.4y,0.001,no
32,admin.,married,university.degree,0.696,yes
32,blue-collar,single,basic.4y,0.512,no
34,self-employed,single,university.degree,0.002,no
49,technician,married,professional.course,0.014,no
19,student,single,basic.9y,0.388,yes
49,services,married,high.school,0,no
53,services,married,university.degree,0.036,no
51,services,married,high.school,0.001,no
27,services,married,university.degree,0.174,no
31,admin.,single,university.degree,0.603,no
66,retired,married,basic.6y,0.357,yes
57,blue-collar,married,basic.4y,0.016,no
51,admin.,married,professional.course,0.01,no
42,unemployed,single,basic.4y,0.008,no
58,retired,married,basic.4y,0.007,no
30,entrepreneur,single,university.degree,0.008,no
49,management,married,university.degree,0.001,no
38,management,married,unknown,0.013,no
47,management,married,university.degree,0,no
28,self-employed,married,university.degree,0.006,no
31,technician,single,university.degree,0.007,no
55,housemaid,divorced,unknown,0.005,no
50,admin.,single,university.degree,0.018,no
40,blue-collar,married,basic.6y,0.004,no
36,management,married,university.degree,0.1,no
41,services,married,unknown,0.003,no
40,blue-collar,married,basic.9y,0,no
31,blue-collar,married,professional.course,0.001,no
47,management,married,university.degree,0,no
31,admin.,married,high.school,0,no
37,technician,single,university.degree,0.125,no
40,blue-collar,married,basic.4y,0.001,no
43,services,married,high.school,0.001,no
51,management,married,basic.9y,0.014,no
71,retired,married,basic.9y,0.331,no
58,housemaid,married,professional.course,0.01,no
26,student,single,high.school,0.31,no
37,blue-collar,married,basic.6y,0.007,no
30,blue-collar,single,high.school,0.176,no
36,services,married,high.school,0.003,no
30,management,single,university.degree,0.012,no
31,services,single,high.school,0.004,no
50,blue-collar,married,basic.4y,0.002,no
33,admin.,single,university.degree,0,no
36,technician,single,university.degree,0.002,no
36,blue-collar,married,basic.9y,0.003,no
56,unemployed,divorced,university.degree,0.003,no
32,blue-collar,married,basic.9y,0.014,no
38,admin.,married,high.school,0,no
36,admin.,divorced,university.degree,0.004,no
45,unemployed,married,university.degree,0.008,no
44,admin.,single,university.degree,0.508,no
36,blue-collar,divorced,high.school,0.249,no
31,admin.,married,university.degree,0.145,no
52,services,married,high.school,0.011,no
40,management,single,university.degree,0.318,yes
46,blue-collar,married,basic.9y,0.002,no
58,self-employed,married,professional.course,0.009,no
35,technician,married,professional.course,0.008,no
36,admin.,divorced,high.school,0.014,no
35,services,single,high.school,0.058,no
33,technician,married,university.degree,0.009,no
28,services,married,high.school,0.002,no
43,technician,married,basic.9y,0.002,no
53,blue-collar,married,high.school,0.003,no
36,admin.,divorced,university.degree,0.066,no
28,admin.,single,university.degree,0.01,no
31,admin.,single,university.degree,0.001,no
32,blue-collar,married,basic.9y,0.064,no
31,admin.,single,university.degree,0.004,no
40,entrepreneur,married,professional.course,0.019,no
29,admin.,married,university.degree,0.072,no
58,management,divorced,university.degree,0.077,no
39,technician,divorced,high.school,0.02,no
46,blue-collar,single,professional.course,0.003,no
32,technician,divorced,professional.course,0.002,no
39,blue-collar,married,basic.9y,0.495,yes
23,blue-collar,single,basic.9y,0.197,no
27,services,single,high.school,0.007,no
40,services,married,high.school,0.459,yes
32,technician,divorced,professional.course,0.005,no
53,blue-collar,single,basic.9y,0.004,no
43,technician,married,professional.course,0.001,no
26,admin.,single,university.degree,0.161,no
34,admin.,single,university.degree,0.057,no
32,admin.,single,university.degree,0,no
38,blue-collar,married,basic.9y,0,no
47,admin.,married,university.degree,0.009,no
38,admin.,single,university.degree,0.292,no
30,management,married,university.degree,0.003,no
51,unemployed,married,professional.course,0.447,no
63,retired,married,basic.4y,0.655,no
45,management,married,university.degree,0.003,no
40,technician,married,professional.course,0.001,no
29,technician,single,high.school,0.008,no
44,blue-collar,married,basic.4y,0.007,no
42,self-employed,married,university.degree,0.783,yes
33,technician,married,university.degree,0.001,no
37,services,married,high.school,0,no
42,self-employed,married,university.degree,0.31,no
70,retired,married,unknown,0.328,no
23,technician,single,high.school,0.478,yes
28,admin.,single,university.degree,0.373,no
32,blue-collar,single,high.school,0.004,no
71,retired,married,basic.4y,0.248,no
95,retired,divorced,basic.6y,0.263,no
46,retired,married,basic.9y,0.048,no
48,management,married,university.degree,0,no
53,blue-collar,married,basic.4y,0.001,no
48,blue-collar,married,high.school,0,no
53,retired,divorced,high.school,0,no
59,admin.,divorced,university.degree,0.635,yes
30,management,single,basic.9y,0.056,no
35,blue-collar,married,basic.9y,0.006,no
34,technician,divorced,professional.course,0.087,no
54,admin.,married,university.degree,0.005,no
53,management,divorced,university.degree,0.618,yes
39,technician,single,high.school,0.002,no
33,technician,married,high.school,0.005,no
48,technician,married,high.school,0.003,no
54,management,married,basic.9y,0.037,no
51,blue-collar,divorced,basic.4y,0.094,no
33,blue-collar,married,basic.9y,0.001,no
34,technician,married,university.degree,0,no
54,technician,divorced,basic.9y,0.003,no
80,retired,married,basic.4y,0.879,yes
39,technician,single,professional.course,0.007,no
30,blue-collar,single,basic.6y,0.007,no
41,blue-collar,married,basic.9y,0.116,no
39,blue-collar,married,basic.4y,0.001,no
32,management,single,university.degree,0.207,yes
36,admin.,single,high.school,0.028,no
34,technician,divorced,basic.9y,0.007,no
46,management,single,university.degree,0.012,no
32,technician,single,professional.course,0.013,no
33,unemployed,married,high.school,0.017,no
59,retired,married,high.school,0.012,no
31,technician,married,university.degree,0.003,no
51,technician,married,professional.course,0.003,no
36,blue-collar,married,basic.9y,0.008,no
29,technician,single,professional.course,0.218,yes
45,services,single,professional.course,0.001,no
51,admin.,married,university.degree,0.027,no
57,technician,divorced,basic.9y,0.008,no
21,unemployed,married,high.school,0.091,no
41,services,married,basic.9y,0,no
27,blue-collar,single,basic.9y,0.53,no
45,admin.,married,high.school,0,no
36,blue-collar,single,high.school,0.001,no
29,services,married,basic.9y,0.179,no
39,admin.,married,university.degree,0.032,no
35,blue-collar,married,basic.6y,0.006,no
45,services,divorced,high.school,0.007,no
33,admin.,single,university.degree,0.099,no
35,self-employed,married,university.degree,0.01,no
59,entrepreneur,divorced,high.school,0.46,yes
29,technician,married,professional.course,0.02,no
56,technician,married,unknown,0.001,no
43,blue-collar,married,basic.9y,0.183,no
38,admin.,single,university.degree,0.015,no
40,admin.,married,university.degree,0,no
20,student,single,high.school,0.537,yes
53,blue-collar,married,basic.4y,0.001,no
33,services,married,high.school,0.153,no
50,admin.,married,basic.9y,0.224,no
36,management,married,university.degree,0.009,no
29,management,single,basic.9y,0.512,no
39,services,married,high.school,0.024,no
29,admin.,married,high.school,0.007,no
34,technician,married,university.degree,0.015,no
39,self-employed,married,high.school,0.012,no
39,technician,married,professional.course,0.002,no
28,blue-collar,single,high.school,0.021,no
33,technician,married,university.degree,0,no
37,admin.,married,high.school,0.013,no
28,blue-collar,single,basic.9y,0.138,no
42,admin.,married,university.degree,0.002,no
31,management,married,university.degree,0.569,yes
34,admin.,single,university.degree,0.009,no
44,blue-collar,married,basic.9y,0.002,no
59,management,married,university.degree,0.128,no
46,unknown,married,unknown,0.442,no
53,self-employed,married,university.degree,0.01,no
43,services,married,basic.6y,0.004,no
30,technician,single,high.school,0.006,no
20,technician,single,professional.course,0.22,no
38,technician,married,professional.course,0.262,yes
36,blue-collar,married,basic.9y,0,no
